Customer ID,TotalSpend,PurchaseFrequency,AvgSpend,CategoryDiversity,Recency,Label
10001,4152.35,18,230.68611111111113,11,30,Impulsive
10002,2551.69,15,170.11266666666668,10,26,Budget
10003,4120.0199999999995,17,242.35411764705879,12,52,Impulsive
10004,4480.42,16,280.02625,10,2,Impulsive
10005,5548.3099999999995,22,252.19590909090905,13,18,Premium
10006,3152.72,13,242.51692307692306,8,5,Budget
10007,6140.9400000000005,18,341.16333333333336,12,27,Impulsive
10008,3693.23,23,160.57521739130434,13,3,Impulsive
10009,3836.6099999999997,11,348.78272727272724,9,7,Impulsive
10010,3842.84,14,274.48857142857145,11,21,Impulsive
10011,4645.94,15,309.72933333333333,10,10,Impulsive
10012,6100.29,26,234.62653846153847,16,5,Premium
10013,5534.72,21,263.55809523809523,14,6,Premium
10014,5200.57,19,273.71421052631575,13,14,Premium
10015,3062.0,12,255.16666666666666,8,28,Budget
10016,3547.8900000000003,14,253.4207142857143,8,11,Budget
10017,4877.24,21,232.2495238095238,14,10,Impulsive
10018,3722.6099999999997,13,286.3546153846154,9,14,Impulsive
10019,3695.32,17,217.37176470588236,9,56,Impulsive
10020,4180.04,19,220.0021052631579,14,8,Impulsive
10021,4711.54,17,277.14941176470586,12,8,Impulsive
10022,6116.549999999999,20,305.8275,13,7,Premium
10023,2084.93,11,189.5390909090909,8,22,Budget
10024,2772.27,8,346.53375,6,62,Budget
10025,7026.85,24,292.78541666666666,15,10,Premium
10026,5560.75,14,397.19642857142856,10,1,Impulsive
10027,2536.11,10,253.61100000000002,7,44,Budget
10028,5998.13,20,299.9065,14,13,Premium
10029,4195.25,19,220.80263157894737,11,3,Impulsive
10030,5893.93,17,346.7017647058824,12,10,Impulsive
10031,3218.45,10,321.84499999999997,7,7,Budget
10032,4399.0,12,366.5833333333333,8,24,Impulsive
10033,2003.19,7,286.17,6,25,Budget
10034,2885.1,10,288.51,7,27,Budget
10035,4900.54,17,288.2670588235294,12,3,Impulsive
10036,3271.52,14,233.68,10,23,Budget
10037,3039.77,13,233.82846153846154,7,43,Budget
10038,4236.59,18,235.3661111111111,14,20,Impulsive
10039,7249.7,29,249.9896551724138,16,6,Premium
10040,3951.27,16,246.954375,12,10,Impulsive
10041,5122.19,19,269.58894736842103,12,8,Premium
10042,6073.39,18,337.41055555555556,10,13,Impulsive
10043,5723.72,15,381.58133333333336,9,27,Impulsive
10044,5938.76,19,312.5663157894737,8,15,Premium
10045,2197.37,13,169.02846153846153,10,32,Budget
10046,6128.61,18,340.4783333333333,11,16,Impulsive
10047,6402.16,25,256.08639999999997,17,36,Premium
10048,4937.45,16,308.590625,12,1,Impulsive
10049,5187.52,20,259.37600000000003,10,6,Premium
10050,3124.4700000000003,14,223.1764285714286,12,11,Budget
10051,6070.6900000000005,17,357.0994117647059,11,7,Impulsive
10052,3144.86,13,241.9123076923077,10,89,Budget
10053,4119.76,17,242.33882352941177,13,10,Impulsive
10054,4788.95,22,217.67954545454543,14,24,Impulsive
10055,2897.9900000000002,15,193.19933333333336,13,12,Budget
10056,3623.79,12,301.9825,8,4,Impulsive
10057,3291.35,11,299.21363636363634,10,42,Budget
10058,5076.1,19,267.16315789473686,10,36,Premium
10059,6076.47,26,233.7103846153846,15,1,Premium
10060,3593.02,15,239.53466666666665,10,20,Impulsive
10061,2486.88,19,130.88842105263157,12,42,Budget
10062,5516.0,18,306.44444444444446,13,52,Impulsive
10063,6280.85,23,273.08043478260873,14,5,Premium
10064,3212.81,12,267.7341666666667,10,78,Budget
10065,5187.3099999999995,16,324.20687499999997,11,38,Impulsive
10066,3913.48,14,279.5342857142857,11,10,Impulsive
10067,2846.02,10,284.602,5,33,Budget
10068,4953.3,16,309.58125,14,36,Impulsive
10069,4305.5599999999995,18,239.19777777777776,12,13,Impulsive
10070,4252.55,15,283.50333333333333,12,9,Impulsive
10071,2066.7,9,229.63333333333333,8,34,Budget
10072,5617.0199999999995,20,280.851,12,2,Premium
10073,4361.14,21,207.67333333333335,13,8,Impulsive
10074,5343.97,12,445.3308333333334,12,18,Impulsive
10075,6877.85,20,343.89250000000004,13,17,Premium
10076,5399.74,23,234.7713043478261,15,3,Premium
10077,2517.82,11,228.89272727272729,8,70,Budget
10078,3482.78,13,267.90615384615387,7,1,Budget
10079,3022.7799999999997,13,232.52153846153846,10,43,Budget
10080,1896.27,6,316.045,6,54,Budget
10081,3231.9700000000003,13,248.61307692307693,9,7,Budget
10082,3980.89,16,248.805625,11,4,Impulsive
10083,3173.94,13,244.14923076923077,10,37,Budget
10084,7103.05,24,295.9604166666667,15,7,Premium
10085,2373.76,8,296.72,8,31,Budget
10086,5536.32,21,263.6342857142857,13,7,Premium
10087,4100.51,16,256.281875,13,18,Impulsive
10088,3080.01,11,280.0009090909091,10,5,Budget
10089,5279.81,18,293.3227777777778,13,19,Impulsive
10090,3974.07,23,172.78565217391306,15,37,Impulsive
10091,2488.2,9,276.46666666666664,8,75,Budget
10092,4050.75,17,238.27941176470588,13,135,Impulsive
10093,6470.45,19,340.55,11,10,Premium
10094,4096.59,14,292.61357142857145,10,12,Impulsive
10095,5565.46,18,309.1922222222222,14,9,Impulsive
10096,4199.02,22,190.86454545454546,11,25,Impulsive
10097,2596.76,10,259.67600000000004,9,30,Budget
10098,3269.14,20,163.457,12,11,Budget
10099,6263.09,21,298.242380952381,14,9,Premium
10100,3126.73,15,208.44866666666667,13,71,Budget
10101,6086.59,24,253.60791666666668,14,4,Premium
10102,3553.62,17,209.0364705882353,13,4,Budget
10103,3372.83,14,240.91642857142855,11,29,Budget
10104,6190.67,24,257.94458333333336,14,20,Premium
10105,1860.55,10,186.055,8,3,Budget
10106,4602.38,20,230.119,13,32,Impulsive
10107,4700.73,16,293.795625,11,18,Impulsive
10108,6407.400000000001,20,320.37,12,5,Premium
10109,5085.16,20,254.25799999999998,14,8,Premium
10110,3456.94,12,288.0783333333333,9,13,Budget
10111,4041.33,23,175.71,14,2,Impulsive
10112,5673.29,18,315.1827777777778,13,11,Impulsive
10113,5072.09,24,211.33708333333334,12,33,Premium
10114,3330.67,14,237.905,7,27,Budget
10115,3000.38,9,333.3755555555556,8,7,Budget
10116,5671.24,21,270.0590476190476,13,6,Premium
10117,4986.07,19,262.42473684210523,11,6,Premium
10118,6951.37,26,267.3603846153846,15,17,Premium
10119,3047.52,16,190.47,8,1,Budget
10120,4831.9,16,301.99375,11,9,Impulsive
10121,4147.0199999999995,11,377.0018181818181,8,7,Impulsive
10122,4824.66,18,268.03666666666663,12,6,Impulsive
10123,2092.11,10,209.211,8,67,Budget
10124,4933.9400000000005,16,308.37125000000003,13,21,Impulsive
10125,2827.36,16,176.71,11,13,Budget
10126,5224.47,19,274.9721052631579,12,33,Premium
10127,4181.57,19,220.08263157894734,13,11,Impulsive
10128,4553.81,19,239.67421052631582,12,2,Impulsive
10129,3192.07,19,168.00368421052633,10,11,Budget
10130,6586.36,17,387.4329411764706,10,17,Impulsive
10131,3378.81,15,225.254,11,7,Budget
10132,4173.04,16,260.815,11,28,Impulsive
10133,4380.74,17,257.6905882352941,12,5,Impulsive
10134,4735.86,14,338.2757142857143,11,14,Impulsive
10135,1882.7800000000002,8,235.34750000000003,7,90,Budget
10136,4982.92,16,311.4325,11,53,Impulsive
10137,5726.17,19,301.3773684210526,13,19,Premium
10138,4977.65,19,261.9815789473684,13,7,Premium
10139,3952.9700000000003,16,247.06062500000002,10,9,Impulsive
10140,3401.36,12,283.44666666666666,9,12,Budget
10141,5502.4,23,239.23478260869564,14,11,Premium
10142,2360.62,13,181.58615384615385,11,2,Budget
10143,7270.39,20,363.5195,11,12,Premium
10144,4814.16,18,267.4533333333333,13,1,Impulsive
10145,3677.89,17,216.3464705882353,11,19,Impulsive
10146,3992.03,21,190.09666666666666,14,3,Impulsive
10147,5807.94,25,232.31759999999997,13,2,Premium
10148,4851.75,21,231.03571428571428,11,21,Impulsive
10149,6862.6900000000005,23,298.37782608695653,12,14,Premium
10150,4600.87,17,270.63941176470587,13,3,Impulsive
10151,2542.0,16,158.875,10,12,Budget
10152,6062.26,21,288.67904761904765,14,7,Premium
10153,4218.24,16,263.64,8,18,Impulsive
10154,6947.4800000000005,26,267.21076923076924,13,10,Premium
10155,3080.25,13,236.94230769230768,9,27,Budget
10156,4925.66,20,246.283,11,7,Premium
10157,5602.31,14,400.165,10,25,Impulsive
10158,4935.1,18,274.1722222222222,15,35,Impulsive
10159,3493.5,11,317.59090909090907,10,4,Budget
10160,5127.82,23,222.9486956521739,17,2,Premium
10161,6168.33,24,257.01375,14,30,Premium
10162,5998.9,19,315.7315789473684,13,15,Premium
10163,7020.0599999999995,22,319.09363636363634,14,1,Premium
10164,5682.56,24,236.77333333333334,17,59,Premium
10165,3946.12,15,263.07466666666664,11,10,Impulsive
10166,4961.44,18,275.6355555555555,11,66,Impulsive
10167,3101.71,13,238.59307692307692,11,30,Budget
10168,2490.3199999999997,11,226.39272727272726,10,9,Budget
10169,4053.0499999999997,13,311.7730769230769,10,39,Impulsive
10170,3894.2599999999998,16,243.39124999999999,12,11,Impulsive
10171,3635.38,16,227.21125,11,5,Impulsive
10172,2598.25,11,236.20454545454547,8,19,Budget
10173,7444.43,27,275.71962962962965,14,8,Premium
10174,2667.0,11,242.45454545454547,10,52,Budget
10175,4779.9,20,238.99499999999998,13,17,Impulsive
10176,3895.29,15,259.686,9,9,Impulsive
10177,2461.1,17,144.7705882352941,11,2,Budget
10178,3853.73,17,226.69,10,12,Impulsive
10179,3311.77,14,236.555,10,9,Budget
10180,4907.85,13,377.5269230769231,11,20,Impulsive
10181,5461.27,22,248.23954545454546,14,27,Premium
10182,4733.82,17,278.46,12,10,Impulsive
10183,4018.76,17,236.39764705882354,12,8,Impulsive
10184,4567.76,17,268.69176470588235,12,21,Impulsive
10185,1911.22,8,238.9025,6,13,Budget
10186,3038.33,13,233.7176923076923,10,73,Budget
10187,3991.19,22,181.41772727272726,13,2,Impulsive
10188,9833.9,29,339.09999999999997,16,8,Premium
10189,3143.52,13,241.80923076923077,11,68,Budget
10190,5949.83,22,270.4468181818182,15,3,Premium
10191,3494.08,16,218.38,13,28,Budget
10192,8623.65,24,359.31874999999997,13,4,Premium
10193,2947.92,11,267.9927272727273,11,15,Budget
10194,4612.67,14,329.4764285714286,7,1,Impulsive
