Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID
INV126225,S0003,PARTY BUNTING,9,2024-05-05,11.55,10103
INV809570,S0003,PARTY BUNTING,18,2024-02-14,29.73,10271
INV131244,S0001,REGENCY CAKESTAND 3 TIER,3,2024-04-21,12.02,10107
INV127824,S0019,MINI PAINT SET VINTAGE,18,2024-04-11,35.94,10072
INV539898,S0017,PAPER CHAIN KIT 50S CHRISTMAS,8,2024-08-17,29.67,10189
INV895667,S0000,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-12-23,21.42,10021
INV263032,S0008,CREAM CUPID HEARTS COAT HANGER,7,2024-06-21,5.56,10103
INV201414,S0012,SPOTTY BUNTING,12,2024-06-25,30.38,10122
INV865179,S0001,REGENCY CAKESTAND 3 TIER,15,2024-10-01,6.68,10215
INV182627,S0012,SPOTTY BUNTING,18,2024-05-30,41.56,10088
INV479201,S0019,MINI PAINT SET VINTAGE,19,2024-04-08,35.38,10100
INV793384,S0001,REGENCY CAKESTAND 3 TIER,8,2024-05-28,49.27,10152
INV205907,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,13,2024-05-22,22.94,10131
INV270555,S0011,ALARM CLOCK BAKELIKE GREEN,12,2024-06-30,10.87,10150
INV835911,S0008,CREAM CUPID HEARTS COAT HANGER,3,2024-11-07,31.93,10258
INV864544,S0017,PAPER CHAIN KIT 50S CHRISTMAS,8,2024-03-24,23.38,10294
INV771088,S0008,CREAM CUPID HEARTS COAT HANGER,18,2024-04-22,34.39,10192
INV340174,S0001,REGENCY CAKESTAND 3 TIER,2,2024-06-10,20.36,10277
INV321231,S0002,JUMBO BAG RED RETROSPOT,19,2024-06-10,11.03,10161
INV514850,S0015,SET 2 TEA TOWELS I LOVE LONDON,15,2024-03-14,13.61,10022
INV881177,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,18,2024-10-02,13.51,10253
INV549245,S0018,BROCADE RING PURSE,19,2024-07-23,18.42,10236
INV634277,S0004,LUNCH BAG RED RETROSPOT,16,2024-02-16,37.91,10049
INV260265,S0003,PARTY BUNTING,6,2024-12-14,21.4,10059
INV503457,S0002,JUMBO BAG RED RETROSPOT,13,2024-11-01,49.81,10170
INV363626,S0016,VINTAGE BILLBOARD DRINK ME MUG,18,2024-01-06,34.17,10188
INV814825,S0003,PARTY BUNTING,18,2024-05-16,38.55,10271
INV216970,S0010,RED WOOLLY HOTTIE WHITE HEART,10,2024-08-10,8.33,10190
INV857168,S0000,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-09-13,38.22,10175
INV211579,S0016,VINTAGE BILLBOARD DRINK ME MUG,10,2024-11-23,25.63,10051
INV260263,S0006,WOODEN PICTURE FRAME WHITE FINISH,12,2024-03-23,27.2,10055
INV100599,S0016,VINTAGE BILLBOARD DRINK ME MUG,20,2024-06-14,24.69,10244
INV480612,S0003,PARTY BUNTING,10,2024-05-02,3.37,10131
INV182582,S0018,BROCADE RING PURSE,3,2024-09-05,40.89,10135
INV903035,S0017,PAPER CHAIN KIT 50S CHRISTMAS,5,2024-03-06,33.16,10021
INV273148,S0017,PAPER CHAIN KIT 50S CHRISTMAS,9,2024-09-27,43.69,10167
INV322086,S0013,BATH BUILDING BLOCK WORD,18,2024-12-19,10.46,10274
